,user_id,experienced,group,patient_id,transform_type,task_id,task_index,duration_seconds,bifurcation_error,abs,recurrence_confusion,recurrence_abs,tre,dsc,slider_total_distance_mm,slider_usage_count,pan_total_distance_px,pan_usage_count,zoom_total_distance_px,zoom_usage_count,window_level_total_distance_px,window_level_usage_count,drag_scroll_total_distance_px,drag_scroll_usage_count,wheel_scroll_distance_c,double_click_Red1_count,double_click_Red2_count,double_click_Green1_count,double_click_Green2_count,double_click_Yellow1_count,double_click_Yellow2_count,synchronised_count,synchronised_duration_seconds,arrow_key_Red1_count,arrow_key_Red2_count,arrow_key_Green1_count,arrow_key_Green2_count,arrow_key_Yellow1_count,arrow_key_Yellow2_count,pan_total_distance_px__z,pan_usage_count__z,zoom_total_distance_px__z,zoom_usage_count__z,slider_total_distance_mm__z,slider_usage_count__z,drag_scroll_total_distance_px__z,drag_scroll_usage_count__z,wheel_scroll_distance_c__z
10,rad_1,False,1,ccucLKGWtSQ,TransformType.LINEAR,lymph_node,task_idx_0049,82.43,,False,,,11.63,0.389247,0.0,0.0,973.6871092093648,25.0,207.2433987978839,16.0,0.0,0.0,0.0,0.0,404.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.2919534704918737,0.23840728809754572,-0.11321295262429251,0.07136254079226985,0.0,0.0,-0.3811298933926365,-0.44045879676620686,3.220050994701218
11,rad_1,False,1,ccucLKGWtSQ,TransformType.LINEAR,recurrence,task_idx_0050,257.968,,,fp,False,,0.389247,0.0,0.0,1784.902218324489,73.0,1481.4769374920356,61.0,0.0,0.0,95.69617910774772,13.0,349.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,190.132,0.0,0.0,0.0,0.0,0.0,0.0,0.9241956859694024,1.5630625737327835,1.6793205361047365,1.481207858883454,0.0,0.0,-0.3128602730103039,-0.31537705108259956,2.704967704225502
12,rad_1,False,1,CSSdmYlgjew,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0057,56.684,2.704591704880424,True,,,34.43,0.688797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45874937071376254,-0.4243099071346614,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,0.7407267200872463
13,rad_1,False,1,CSSdmYlgjew,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0058,28.426,3.847466233711321,True,,,36.09,0.688797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45874937071376254,-0.4478826797532537,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,-0.07481023773285135
14,rad_1,False,1,CSSdmYlgjew,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0059,50.96,12.453192857077976,False,,,3.63,0.688797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.509,0.0,0.0,0.0,0.0,0.0,0.0,-0.45874937071376254,-0.4478826797532537,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,-0.18860609231239986
15,rad_1,False,1,CSSdmYlgjew,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0060,47.954,3.027105662387792,True,,,3.96,0.688797,0.0,0.0,491.193321537002,5.0,100.46478645726594,11.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14279031233697828,-0.3300188166602922,-0.2752639283495079,-0.12384759930589012,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,0.40566114826968674
16,rad_1,False,1,CSSdmYlgjew,TransformType.NONLINEAR,lymph_node,task_idx_0061,27.872,,True,,,1.04,0.688797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.321,0.0,0.0,0.0,0.0,0.0,0.0,-0.45874937071376254,-0.4243099071346614,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,-0.03687828620633518
17,rad_1,False,1,CSSdmYlgjew,TransformType.NONLINEAR,recurrence,task_idx_0062,177.136,,,tn,True,,0.688797,173.8,25.0,3294.155453371824,105.0,1278.3352756585311,86.0,0.0,0.0,2125.144545211094,139.0,112.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,114.039,0.0,0.0,0.0,0.0,0.0,0.0,1.6602091117372342,2.027258445198938,1.0231813586289706,1.7600313760513118,8.426149773176359,8.426149773176357,0.9468079375281573,0.9817236916986141,0.3234752532955684
18,rad_1,False,1,96-du2ceM4o,TransformType.LINEAR,a_vertebralis_r,task_idx_0063,24.948,3.052126913084447,True,,,3.32,0.746992,0.0,0.0,509.23079247036895,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.047,0.0,0.0,0.0,0.0,0.0,0.0,-0.07003299572164226,-0.3963233696026724,-0.40475349160895935,-0.4299157945290401,0.0,0.0,-0.3811298933926365,-0.44045879676620686,-0.22632447611811757
19,rad_1,False,1,96-du2ceM4o,TransformType.LINEAR,a_vertebralis_l,task_idx_0064,26.497,4.397800145966236,True,,,3.52,0.746992,0.0,0.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.4658134432224625,-0.3963233696026724,-0.40475349160895935,-0.4299157945290401,0.0,0.0,-0.3811298933926365,-0.44045879676620686,-0.46981839525209235
